model,threshold,roc_auc,pr_auc,precision,recall,specificity,f1,brier_score,true_negatives,false_positives,false_negatives,true_positives
Logistic regression,0.1,0.6688537223113538,0.22494906748755442,0.16704263478457027,0.6599821746880571,0.5786981573392663,0.2666066606660666,0.09599001088122984,10144,7385,763,1481
Logistic regression,0.15,0.6688537223113538,0.22494906748755442,0.23226578868602216,0.34581105169340465,0.853671059387301,0.27788719785138766,0.09599001088122984,14964,2565,1468,776
Logistic regression,0.2,0.6688537223113538,0.22494906748755442,0.2866915422885572,0.2054367201426025,0.9345655770437561,0.23935617860851505,0.09599001088122984,16382,1147,1783,461
Logistic regression,0.3,0.6688537223113538,0.22494906748755442,0.3893805309734513,0.0784313725490196,0.984254663700154,0.13056379821958458,0.09599001088122984,17253,276,2068,176
Logistic regression,0.4,0.6688537223113538,0.22494906748755442,0.4685714285714286,0.036541889483065956,0.994694506246791,0.06779661016949153,0.09599001088122984,17436,93,2162,82
Logistic regression,0.5,0.6688537223113538,0.22494906748755442,0.5466666666666666,0.018270944741532978,0.9980603571224828,0.03536006899525657,0.09599001088122984,17495,34,2203,41
Random forest,0.1,0.6750542187842727,0.22168809033393283,0.11348808981945077,1.0,0.0,0.20384248535222782,0.21486257663711858,0,17529,0,2244
Random forest,0.15,0.6750542187842727,0.22168809033393283,0.11348808981945077,1.0,0.0,0.20384248535222782,0.21486257663711858,0,17529,0,2244
Random forest,0.2,0.6750542187842727,0.22168809033393283,0.11349957007738606,1.0,0.0001140966398539563,0.20386100386100386,0.21486257663711858,2,17527,0,2244
Random forest,0.3,0.6750542187842727,0.22168809033393283,0.1155399109638679,0.9946524064171123,0.025272405727651322,0.20703088767275762,0.21486257663711858,443,17086,12,2232
Random forest,0.4,0.6750542187842727,0.22168809033393283,0.13733786502046194,0.8823529411764706,0.2904900450681727,0.2376808114759018,0.21486257663711858,5092,12437,264,1980
Random forest,0.5,0.6750542187842727,0.22168809033393283,0.19170421003573093,0.5499108734402852,0.7031775914199326,0.2842990438889529,0.21486257663711858,12326,5203,1010,1234
