feature,importance_mean,importance_std
number_inpatient,0.04050971954113961,0.004311484474733644
discharge_disposition,0.03421708946318957,0.005647295533948079
diag_1_group,0.005037691770240067,0.0011665375012565747
insulin,0.0050171119062569864,0.001716595849501789
number_emergency,0.004150632953411347,0.002024062922289729
metformin,0.0034335674128970393,0.003378430835903568
admission_source,0.0030881036632375105,0.0010943757647161065
A1Cresult,0.0030084114532944093,0.0029246104248668663
medication_change,0.0029749469454486976,0.0006984296034290238
diag_2_group,0.0026351404799558422,0.0011151283472164385
time_in_hospital,0.00214324955572337,0.0032186233123835985
age,0.0016689366001179096,0.0017016365352488
glipizide,0.001612509806061646,0.0008900803083907547
num_procedures,0.001608594981515064,0.0011687479535268778
max_glu_serum,0.0013100951635809654,0.00043732197167989416
number_outpatient,0.0012930126106372268,0.0006236797712593591
diabetes_medication,0.0009339741965753804,0.00022557706205736868
glimepiride,0.0008253264773343261,0.0008454786381547916
acarbose,0.0005543234087366233,0.00025787656406378687
num_medications,0.00044409581112726343,0.0015826463547059441
num_lab_procedures,0.00035914954157429774,0.0006507670485893606
gender,0.0003453369205489905,0.0006568216383860281
pioglitazone,0.00016191345957799105,0.0004990593616871784
repaglinide,0.00013774040994923853,4.7271170665596844e-05
nateglinide,3.443559743441608e-05,1.6753660654510574e-05
chlorpropamide,2.0294120984291435e-05,1.7237744858175228e-05
glipizide-metformin,0.0,0.0
metformin-pioglitazone,0.0,0.0
citoglipton,0.0,0.0
metformin-rosiglitazone,0.0,0.0
tolazamide,0.0,0.0
troglitazone,0.0,0.0
tolbutamide,0.0,0.0
miglitol,0.0,0.0
acetohexamide,0.0,0.0
examide,0.0,0.0
glimepiride-pioglitazone,0.0,0.0
diag_3_group,-0.000193245556838371,0.001256404495549353
glyburide-metformin,-0.00020613142002483728,0.00019305167133166197
rosiglitazone,-0.0002458134767426105,0.0006089583250168222
glyburide,-0.0003725134888791411,0.0011258112746029977
number_diagnoses,-0.0009041312652333008,0.0013215864354460143
admission_type,-0.0014594992067320605,0.0008774425980107194
race,-0.001551276272901229,0.0009505598571935127
