diag_1_group,encounters,readmissions,readmission_rate,readmission_rate_pct
Musculoskeletal,4935,471,0.09544072948328268,9.54
Respiratory,13934,1402,0.1006171953495048,10.06
Digestive,9333,1010,0.10821815064823744,10.82
Neoplasms,3131,341,0.10891089108910891,10.89
Genitourinary,5002,552,0.11035585765693723,11.04
Other,17793,2079,0.11684370257966616,11.68
Circulatory,29680,3469,0.11688005390835579,11.69
Injury,6851,850,0.12406947890818859,12.41
Diabetes,8661,1135,0.1310472231843898,13.1
Missing,20,5,0.25,25.0
