model,threshold,group_variable,group,encounters,readmissions,prevalence_pct,roc_auc,precision,recall,specificity,false_positive_rate,false_negative_rate
Logistic regression,0.15,race,AfricanAmerican,3697,399,10.792534487422234,0.6763262005833262,0.21608832807570977,0.3433583959899749,0.8493026076409945,0.15069739235900545,0.656641604010025
Logistic regression,0.15,race,Asian,116,10,8.620689655172415,0.7339622641509433,0.11764705882352941,0.2,0.8584905660377359,0.14150943396226415,0.8
Logistic regression,0.15,race,Caucasian,14813,1736,11.719435630864782,0.6636141161761125,0.23642047674872999,0.3485023041474654,0.8505773495450026,0.14942265045499734,0.6514976958525346
Logistic regression,0.15,race,Hispanic,398,36,9.045226130653267,0.7678790669122161,0.26229508196721313,0.4444444444444444,0.8756906077348067,0.12430939226519337,0.5555555555555556
Logistic regression,0.15,race,Missing,447,32,7.158836689038031,0.6431475903614458,0.15384615384615385,0.1875,0.9204819277108434,0.07951807228915662,0.8125
Logistic regression,0.15,race,Other,302,31,10.264900662251655,0.6853945958814427,0.3225806451612903,0.3225806451612903,0.922509225092251,0.07749077490774908,0.6774193548387096
Logistic regression,0.15,gender,Female,10726,1228,11.448815961215738,0.6772340379562164,0.24,0.3566775244299674,0.8539692566856181,0.14603074331438198,0.6433224755700325
Logistic regression,0.15,gender,Male,9047,1016,11.230242069194208,0.6588638562970066,0.22295514511873352,0.33267716535433073,0.8533183912339684,0.14668160876603162,0.6673228346456693
Logistic regression,0.15,age,[0-10),26,2,7.6923076923076925,0.6666666666666667,0.0,0.0,1.0,0.0,1.0
Logistic regression,0.15,age,[10-20),137,8,5.839416058394161,0.7625968992248062,0.0,0.0,0.9922480620155039,0.007751937984496124,1.0
Logistic regression,0.15,age,[20-30),369,60,16.260162601626014,0.8450377562028046,0.43820224719101125,0.65,0.8381877022653722,0.16181229773462782,0.35
Logistic regression,0.15,age,[30-40),757,87,11.492734478203435,0.6993823983530623,0.2549019607843137,0.2988505747126437,0.8865671641791045,0.11343283582089553,0.7011494252873564
Logistic regression,0.15,age,[40-50),1909,183,9.586170770036668,0.6830126195948814,0.23671497584541062,0.2677595628415301,0.9084588644264194,0.09154113557358054,0.73224043715847
Logistic regression,0.15,age,[50-60),3467,377,10.873954427458898,0.7244194930167478,0.33692722371967654,0.33156498673740054,0.920388349514563,0.07961165048543689,0.6684350132625995
Logistic regression,0.15,age,[60-70),4356,504,11.570247933884298,0.6610017059783415,0.24714285714285714,0.34325396825396826,0.8631879543094496,0.13681204569055036,0.6567460317460317
Logistic regression,0.15,age,[70-80),4921,556,11.298516561674457,0.6612174178183227,0.20672601384767555,0.37589928057553956,0.8162657502863688,0.18373424971363117,0.6241007194244604
Logistic regression,0.15,age,[80-90),3284,399,12.149817295980512,0.6047936131489903,0.18324607329842932,0.3508771929824561,0.7837088388214904,0.21629116117850952,0.6491228070175439
Logistic regression,0.15,age,[90-100),547,68,12.431444241316271,0.49772811003315726,0.15625,0.22058823529411764,0.8308977035490606,0.16910229645093947,0.7794117647058824
Random forest,0.5,race,AfricanAmerican,3697,399,10.792534487422234,0.6631960434743621,0.18189730200174065,0.5238095238095238,0.7149787750151607,0.2850212249848393,0.47619047619047616
Random forest,0.5,race,Asian,116,10,8.620689655172415,0.6971698113207547,0.17857142857142858,0.5,0.7830188679245284,0.2169811320754717,0.5
Random forest,0.5,race,Caucasian,14813,1736,11.719435630864782,0.6736958405530659,0.19438877755511022,0.5587557603686636,0.6925900435879789,0.3074099564120211,0.4412442396313364
Random forest,0.5,race,Hispanic,398,36,9.045226130653267,0.781767955801105,0.20202020202020202,0.5555555555555556,0.7817679558011049,0.21823204419889503,0.4444444444444444
Random forest,0.5,race,Missing,447,32,7.158836689038031,0.654894578313253,0.14563106796116504,0.46875,0.7879518072289157,0.21204819277108433,0.53125
Random forest,0.5,race,Other,302,31,10.264900662251655,0.7017021783121058,0.22058823529411764,0.4838709677419355,0.8044280442804428,0.19557195571955718,0.5161290322580645
Random forest,0.5,gender,Female,10726,1228,11.448815961215738,0.687408904188984,0.1951219512195122,0.5863192182410424,0.6873025900189513,0.31269740998104867,0.41368078175895767
Random forest,0.5,gender,Male,9047,1016,11.230242069194208,0.660577442528313,0.18711321441572626,0.5059055118110236,0.7219524343170215,0.27804756568297845,0.4940944881889764
Random forest,0.5,age,[0-10),26,2,7.6923076923076925,0.6041666666666667,1.0,0.5,1.0,0.0,0.5
Random forest,0.5,age,[10-20),137,8,5.839416058394161,0.7393410852713178,0.36363636363636365,0.5,0.9457364341085271,0.05426356589147287,0.5
Random forest,0.5,age,[20-30),369,60,16.260162601626014,0.8319309600863,0.392,0.8166666666666667,0.7540453074433657,0.2459546925566343,0.18333333333333332
Random forest,0.5,age,[30-40),757,87,11.492734478203435,0.7133642134156802,0.25555555555555554,0.5287356321839081,0.8,0.2,0.47126436781609193
Random forest,0.5,age,[40-50),1909,183,9.586170770036668,0.6742333580279747,0.19194312796208532,0.4426229508196721,0.802433371958285,0.19756662804171496,0.5573770491803278
Random forest,0.5,age,[50-60),3467,377,10.873954427458898,0.7228262642390529,0.2571428571428571,0.5013262599469496,0.8233009708737864,0.1766990291262136,0.4986737400530504
Random forest,0.5,age,[60-70),4356,504,11.570247933884298,0.6622920066261189,0.19583654587509639,0.503968253968254,0.7292315680166147,0.27076843198338524,0.49603174603174605
Random forest,0.5,age,[70-80),4921,556,11.298516561674457,0.6698851228295714,0.17482885729331227,0.5971223021582733,0.641008018327606,0.35899198167239404,0.4028776978417266
Random forest,0.5,age,[80-90),3284,399,12.149817295980512,0.6167289975371705,0.16036505867014342,0.6165413533834586,0.5535528596187175,0.44644714038128247,0.38345864661654133
Random forest,0.5,age,[90-100),547,68,12.431444241316271,0.5330959105980597,0.13733905579399142,0.47058823529411764,0.5803757828810021,0.4196242171189979,0.5294117647058824
